City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port blair,11.6667,92.75,81.43,75,52,10.76,IN,1732216589
1,hotan,37.0997,79.9269,43.23,48,100,2.1,CN,1732216590
2,wailua homesteads,22.0669,-159.378,75.99,87,20,6.91,US,1732216591
3,puerto baquerizo moreno,-0.9,-89.6,81.59,54,40,11.5,EC,1732216592
4,port-aux-francais,-49.35,70.2167,39.6,82,87,38.97,TF,1732216593
5,anadyr,64.75,177.4833,5.5,77,0,8.01,RU,1732216595
6,kalemie,-5.9475,29.1947,71.28,90,100,4.05,CD,1732216596
7,itoman,26.1247,127.6694,68.02,88,100,12.66,JP,1732216597
8,sao tome,0.3365,6.7273,78.22,88,100,11.07,ST,1732216598
9,minas de marcona,-15.2119,-75.1103,68.49,53,100,13.62,PE,1732216600
10,adamstown,-25.066,-130.1015,73.2,89,6,15.03,PN,1732216601
11,isafjordur,66.0755,-23.124,23.31,83,99,12.35,IS,1732216602
12,san patricio,28.017,-97.5169,73.35,16,0,4.09,US,1732216603
13,bilibino,68.0546,166.4372,-19.62,97,62,4.18,RU,1732216604
14,chonchi,-42.6128,-73.8092,65.05,40,55,2.57,CL,1732216605
15,nemuro,43.3236,145.575,44.87,84,100,15.99,JP,1732216606
16,tromso,69.6496,18.957,26.62,63,0,16.11,NO,1732216504
17,grytviken,-54.2811,-36.5092,44.76,77,100,13.58,GS,1732216609
18,puerto deseado,-47.7503,-65.8938,69.73,28,19,25.17,AR,1732216610
19,blackmans bay,-43.0167,147.3167,50.52,89,74,3.06,AU,1732216611
20,udachny,66.4167,112.4,16.29,96,100,7.63,RU,1732216612
21,port elizabeth,-33.918,25.5701,70.32,99,75,5.75,ZA,1732216613
22,taoudenni,22.6783,-3.9836,82.2,23,0,11.05,ML,1732216614
23,kone,-21.0595,164.8658,71.65,77,59,4.56,NC,1732216615
24,hermanus,-34.4187,19.2345,69.8,84,23,12.97,ZA,1732216616
25,biltine,14.5333,20.9167,74.88,13,1,9.53,TD,1732216617
26,kapuskasing,49.4169,-82.4331,41.0,100,100,5.75,CA,1732216618
27,puerto santa,-8.9906,-78.6456,67.53,81,100,10.04,PE,1732216431
28,atherton,53.5237,-2.4935,37.22,92,100,3.0,GB,1732216621
29,longyearbyen,78.2186,15.6401,19.24,86,75,2.3,SJ,1732216622
30,cherepovets,59.1333,37.9,44.42,93,100,15.66,RU,1732216623
31,yellowknife,62.456,-114.3525,3.42,96,100,4.61,CA,1732216624
32,tsetserleg,47.475,101.4542,22.33,34,0,5.03,MN,1732216625
33,mount pearl,47.5166,-52.7813,44.46,99,100,14.97,CA,1732216626
34,maryborough,-25.5333,152.7,65.46,98,94,4.09,AU,1732216418
35,estevan,49.1334,-102.9842,16.21,79,40,4.61,CA,1732216628
36,puerto natales,-51.7236,-72.4875,61.25,44,75,8.05,CL,1732216630
37,codrington,-38.2667,141.9667,58.5,58,97,9.04,AU,1732216632
38,ribeira grande,38.5167,-28.7,68.77,88,40,15.99,PT,1732216633
39,callao,-12.0667,-77.15,73.69,64,20,14.97,PE,1732216634
40,georgetown,5.4112,100.3354,78.73,88,40,4.61,MY,1732216435
41,lobito,-12.3481,13.5456,77.43,85,100,4.97,AO,1732216636
42,catriel,-37.8791,-67.7956,89.4,20,0,19.8,AR,1732216637
43,tvoroyri,61.5556,-6.8111,41.86,62,100,21.05,FO,1732216638
44,betare oya,5.6,14.0833,74.43,41,99,3.29,CM,1732216639
45,santo tome,-31.6627,-60.7653,83.01,48,6,8.01,AR,1732216374
46,robertsport,6.7533,-11.3686,81.64,79,10,9.62,LR,1732216641
47,redlands,34.0556,-117.1825,77.4,15,0,1.01,US,1732216510
48,ust'-ilimsk,58.0006,102.6619,13.84,96,30,4.7,RU,1732216643
49,horta,38.5333,-28.6333,68.02,93,40,15.99,PT,1732216645
50,edinburgh of the seven seas,-37.0676,-12.3116,53.26,70,100,15.1,SH,1732216646
51,buka,40.8108,69.1986,47.97,78,12,4.7,UZ,1732216647
52,ust-nera,64.5667,143.2,-25.38,100,78,4.65,RU,1732216648
53,tolanaro,-25.0319,46.9987,77.07,78,40,16.11,MG,1732216649
54,kardla,58.9978,22.7492,32.68,69,100,17.34,EE,1732216650
55,yaren,-0.5472,166.916,82.35,75,8,16.35,NR,1732216651
56,qaqortoq,60.7167,-46.0333,20.55,78,96,4.59,GL,1732216652
57,kodiak,57.79,-152.4072,51.31,30,0,14.97,US,1732216653
58,borogontsy,62.6683,131.1683,-17.21,100,96,4.07,RU,1732216654
59,waitangi,-43.9535,-176.5597,52.83,94,76,8.01,NZ,1732216655
60,haiku-pauwela,20.9219,-156.3051,75.22,79,75,13.0,US,1732216657
61,ilulissat,69.2167,-51.1,28.42,86,75,3.44,GL,1732216658
62,thompson,55.7435,-97.8558,24.96,93,100,9.22,CA,1732216659
63,dali,25.7,100.1833,47.14,89,2,4.0,CN,1732216485
64,west island,-12.1568,96.8225,80.58,89,100,18.41,CC,1732216662
65,zavodoukovsk,56.5042,66.5515,22.28,96,31,5.88,RU,1732216663
66,acajutla,13.5928,-89.8275,85.32,66,37,7.45,SV,1732216664
67,lewiston orchards,46.3804,-116.9754,50.86,75,100,8.05,US,1732216665
68,ibipeba,-11.6408,-42.0111,89.74,38,58,6.06,BR,1732216666
69,santana,-0.0583,-51.1817,93.38,52,20,13.8,BR,1732216667
70,atafu village,-8.5421,-172.5159,81.99,72,98,6.17,TK,1732216668
71,camacupa,-12.0167,17.4833,64.87,87,78,1.99,AO,1732216670
72,orda,57.1951,56.9091,29.05,89,100,15.14,RU,1732216671
73,albany,42.6001,-73.9662,43.45,94,100,1.01,US,1732216672
74,saint johnsbury,44.4192,-72.0151,48.02,80,100,5.75,US,1732216673
75,bredasdorp,-34.5322,20.0403,65.25,90,1,7.63,ZA,1732216674
76,kerikeri,-35.2268,173.9474,56.89,59,0,8.16,NZ,1732216675
77,keflavik,64.0049,-22.5624,23.43,80,0,9.22,IS,1732216676
78,papao,-17.75,-149.55,80.28,62,100,9.95,PF,1732216677
79,kununurra,-15.7667,128.7333,80.58,83,20,0.0,AU,1732216584
80,bodaybo,57.8506,114.1933,9.95,97,100,2.3,RU,1732216621
81,dudinka,69.4058,86.1778,-13.22,98,100,8.46,RU,1732216681
82,margaret river,-33.95,115.0667,58.01,76,100,9.31,AU,1732216385
83,montenegro,42.5,19.3,35.35,81,0,3.44,ME,1732216683
84,tanjung selor,2.8372,117.3642,73.33,96,84,1.66,ID,1732216684
85,nouadhibou,20.931,-17.0347,78.78,31,2,5.75,MR,1732216685
86,tsiombe,-25.3,45.4833,74.68,77,0,17.54,MG,1732216686
87,iqaluit,63.7506,-68.5145,13.73,85,40,2.3,CA,1732216687
88,avarua,-21.2078,-159.775,75.25,64,40,17.27,CK,1732216688
89,san borja,-14.8167,-66.85,86.7,76,100,2.89,BO,1732216689
90,mar del plata,-38.0023,-57.5575,69.53,85,75,20.71,AR,1732216538
91,alofi,-19.0595,-169.9187,76.89,83,20,10.36,NU,1732216692
92,grand falls-windsor,48.9332,-55.6649,43.5,95,100,5.99,CA,1732216693
93,pimentel,-6.8367,-79.9342,73.69,60,0,20.71,PE,1732216442
94,klyuchi,52.2667,79.1667,26.92,97,100,6.42,RU,1732216695
95,invercargill,-46.4,168.35,47.01,92,100,4.0,NZ,1732216696
96,vilyuchinsk,52.9306,158.4028,16.07,79,23,6.49,RU,1732216697
97,fortuna,40.5982,-124.1573,57.92,99,75,14.97,US,1732216698
98,snyder,32.7179,-100.9176,57.54,41,0,5.75,US,1732216606
99,la passe,45.5549,-0.8967,49.17,70,100,26.55,FR,1732216700
100,ushuaia,-54.8,-68.3,61.0,50,100,9.53,AR,1732216420
101,flying fish cove,-10.4217,105.6791,81.45,79,100,3.83,CX,1732216702
102,happy valley-goose bay,53.3168,-60.3315,35.91,80,75,24.16,CA,1732216703
103,port macquarie,-31.4333,152.9167,63.07,99,43,3.0,AU,1732216705
104,vila franca do campo,37.7167,-25.4333,66.61,99,100,5.17,PT,1732216706
105,weno,7.4515,151.8468,82.35,89,75,0.0,FM,1732216707
106,horsham,51.064,-0.3272,32.32,80,0,4.61,GB,1732216708
107,camenca,48.0319,28.6978,32.36,85,13,10.22,MD,1732216709
108,alotau,-10.3069,150.4462,76.68,95,100,3.0,PG,1732216710
109,okhotsk,59.3833,143.3,1.02,80,42,15.66,RU,1732216711
110,alexandria,31.2156,29.9553,72.27,47,19,6.15,EG,1732216395
111,puerto ayora,-0.7393,-90.3518,77.56,81,83,8.01,EC,1732216714
112,badger,64.8,-147.5333,12.45,87,100,0.0,US,1732216715
113,arraial do cabo,-22.9661,-42.0278,75.06,100,100,10.36,BR,1732216717
114,sitka,57.0531,-135.33,37.29,48,0,3.44,US,1732216718
115,othello,46.826,-119.1753,42.3,76,100,5.32,US,1732216719
116,olonkinbyen,70.9221,-8.7187,26.78,60,60,18.14,SJ,1732216720
117,kattivakkam,13.2167,80.3167,79.97,86,75,10.16,IN,1732216721
118,bethel,41.3712,-73.414,47.01,88,100,6.91,US,1732216515
119,hamilton,39.1834,-84.5333,33.78,77,100,19.57,US,1732216619
120,tiksi,71.6872,128.8694,-1.3,90,100,10.22,RU,1732216724
121,port lincoln,-34.7333,135.8667,68.95,59,100,8.93,AU,1732216627
122,fale old settlement,-9.3852,-171.2468,81.91,76,66,7.58,TK,1732216726
123,hawaiian paradise park,19.5933,-154.9731,71.89,99,100,1.01,US,1732216727
124,fenoarivo be,-18.4333,46.5667,75.78,54,97,7.47,MG,1732216728
125,whitehorse,60.7161,-135.0538,-1.43,84,75,0.0,CA,1732216564
126,sulak,43.2734,47.5146,53.38,89,0,17.29,RU,1732216731
127,nar'yan-mar,67.6713,53.087,7.75,82,100,12.62,RU,1732216732
128,stanley,54.868,-1.6985,33.28,85,0,14.97,GB,1732216591
129,imamoglu,37.2651,35.6572,58.66,74,81,1.43,TR,1732216734
130,valley city,46.9233,-98.0032,21.72,93,0,12.66,US,1732216735
131,cabedelo,-6.9811,-34.8339,84.87,64,92,8.81,BR,1732216736
132,kuqa,41.7278,82.9364,39.69,49,78,3.27,CN,1732216737
133,manokwari,-0.8667,134.0833,79.29,76,70,2.75,ID,1732216738
134,puning,23.3107,116.1687,63.66,84,90,3.89,CN,1732216739
135,fort bragg,35.139,-79.006,61.92,36,0,16.11,US,1732216740
136,port mathurin,-19.6833,63.4167,77.04,81,100,21.25,MU,1732216742
137,hithadhoo,-0.6,73.0833,82.8,75,13,14.27,MV,1732216743
138,salekhard,66.53,66.6019,-13.23,94,50,2.01,RU,1732216744
